,title,company,place,salary,publish_time
70,大数据产品经理,杭州品茗安控信息技术股份有限公司...,杭州-西湖区,1.2-1.8万/月,03-31
71,电商运营经理,深圳前海翼联科技有限公司,深圳-宝安区,0.8-1.5万/月,03-31
72,链家直招新房销售顾问底薪4000起,贝壳找房大平台,武汉-东西湖区,4.5-6千/月,03-31
73,亚马逊CPC推广,深圳市第一卫电子有限公司,深圳-龙华新区,0.6-1.5万/月,03-31
74,大数据工程师,西安天和防务技术股份有限公司,西安,0.6-1万/月,03-31
75,Java开发工程师,广东国中文化发展股份有限公司,广州-番禺区,5-7千/月,03-31
76,Service Manager,太平洋电信股份有限公司,上海,1.5-2万/月,03-31
77,后台软件工程师,深圳市泛海三江电子股份有限公司,深圳-南山区,1.2-2.4万/月,03-31
78,算法工程师,青岛明华电子仪器有限公司,青岛-城阳区,0.7-2.2万/月,03-31
79,生物信息学专员,深圳南博屹生物科技有限公司,深圳,6.5-8千/月,03-31
80,数据处理工程师,北京双顺达信息技术股份有限公司,南宁,6-8千/月,03-31
81,统计分析员（可接受应届毕业生）,重庆洪九果品股份有限公司,重庆-渝北区,3-5千/月,03-31
82,大数据开发工程师,世贸通科技电子商务（深圳）有限公...,深圳-福田区,1.5-2万/月,03-31
83,BI数据分析,微钉科技（无锡）有限公司,无锡-无锡新区,1-1.5万/月,03-31
84,IE工程师(流程优化）,赛威斯(广州)资讯有限公司,广州-番禺区,1-1.5万/月,03-31
85,临床数据分析师,广州杰纳医药科技发展有限公司,广州-黄埔区,0.7-1万/月,03-31
86,电话销售（不加班双休早九晚六）,北京鹏程时代人力资源有限公司,北京-朝阳区,1-1.5万/月,03-31
87,财务数据分析/双休,成都风暴之灵蓝猫网络科技有限公司...,重庆-渝北区,4-6千/月,03-31
88,数据分析师,成都易我科技开发有限责任公司,成都,0.8-1.3万/月,03-31
89,系统运维工程师,上海坤雷实业有限公司,苏州-工业园区,0.8-1万/月,03-31
90,数据开发工程师,上海致隽信息科技中心,上海-浦东新区,1.1-2万/月,03-31
91,技术部部长,湖北当代企业发展培训中心,武汉-洪山区,25-30万/年,03-31
92,生物信息研究员,江苏为真生物医药技术股份有限公司...,苏州-工业园区,0.6-1.2万/月,03-31
93,人工智能算法工程师,博微太赫兹信息科技有限公司,合肥-高新区,2.5-5万/月,03-31
94,数据分析师,宁波知行合一电子商务有限公司,宁波-鄞州区,10-15万/年,03-31
95,新媒体运营经理,深圳市一哥鲍鱼实业有限公司,深圳-罗湖区,1-1.5万/月,03-31
