,title,company,place,salary,publish_time
8028,信用卡催收员,致融鑫达金融服务外包（北京）有限...,肇庆,4-8千/月,11-26
8029,平安银行直营催收+双休+6险2金客服专员会计文员销售,合肥乐职无忧教育咨询有限公司,合肥-包河区,4.4-8.9千/月,11-26
8030,月入10K电话催收（五险一金）,上海你我贷互联网金融信息服务有限...,上海-浦东新区,1-2万/月,11-26
8031,陆家嘴电话催收（月入10K）,上海你我贷互联网金融信息服务有限...,上海-浦东新区,1-2万/月,11-26
8032,稳赚10k电话催收,上海你我贷互联网金融信息服务有限...,上海-浦东新区,1-2万/月,11-26
8033,滨湖浦发银行：获客/分期/催收/1万+客服专员文员销售,合肥乐职无忧教育咨询有限公司,合肥-滨湖新区,4.4-8.9千/月,11-26
8034,滨湖浦发银行：获客/分期/催收/1万+客服专员文员销售,合肥乐职无忧教育咨询有限公司,合肥-滨湖新区,4.4-8.9千/月,11-26
8035,银行电话客服专员,南京协融信息咨询有限公司,南京-鼓楼区,0.6-1万/月,11-26
8036,银行风控客服,南京协融信息咨询有限公司,南京-鼓楼区,0.6-1万/月,11-26
8037,平安银行催收：编制/6险2金/客服专员销售代表文员经验,前程信息,成都-锦江区,4.4-8.9千/月,11-26
8038,稳赚9k电话催收,上海你我贷互联网金融信息服务有限...,上海-浦东新区,0.9-1.5万/月,11-26
8039,前端电话催收（你我贷+浦电路）,上海你我贷互联网金融信息服务有限...,上海-浦东新区,0.8-1.5万/月,11-26
8040,大平台电话催收（底薪4000+）,上海你我贷互联网金融信息服务有限...,上海-浦东新区,0.8-1.5万/月,11-26
8041,平安银行催收：编制/6险2金/客服专员销售代表文员经验,前程信息,济南-历城区,4.4-8.9千/月,11-26
8042,前端电话催收（你我贷）,上海你我贷互联网金融信息服务有限...,上海-浦东新区,0.8-1.5万/月,11-26
8043,稳赚8k电话催收,上海你我贷互联网金融信息服务有限...,上海-浦东新区,0.8-1.2万/月,11-26
8044,中信信用卡催收主管（12000-20000）,湖北中亿拓博企业管理咨询有限公司...,武汉-武昌区,1.2-2万/月,11-26
8045,平安银行催收+非外包+编制+6险2金客服专员文员销售,合肥乐职无忧教育咨询有限公司,合肥-包河区,4.4-8.9千/月,11-26
8046,你我贷电话催收（高薪酬+包食宿）,上海你我贷互联网金融信息服务有限...,苏州-吴中区,0.6-1.2万/月,11-26
8047,苏州电话催收（大平台+高薪酬）,上海你我贷互联网金融信息服务有限...,苏州-吴中区,0.6-1万/月,11-26
8048,催收员（花桥） (MJ000482),上海你我贷互联网金融信息服务有限...,苏州-吴中区,0.6-1万/月,11-26
8049,电话催收实习生 五险一金,武汉众汇信资产管理有限公司,武汉,6-8千/月,11-26
8050,金融港 电催 无责5.2K+五险一金,武汉众汇信资产管理有限公司,武汉-江夏区,0.8-1万/月,11-26
8051,你我贷电话催收易上手 包食宿,上海你我贷互联网金融信息服务有限...,昆山,4.5-9千/月,11-26
8052,滨湖浦发银行：获客/分期/催收/1万+客服专员文员销售,安徽荣耀前程信息科技有限公司,合肥-滨湖新区,4.4-8.9千/月,11-26
8053,平安银行直营催收+双休+6险2金客服专员会计文员销售,合肥乐职无忧教育咨询有限公司,合肥-包河区,4.4-8.9千/月,11-26
8054,滨湖浦发银行：获客/分期/催收/1万+客服专员文员销售,合肥乐职无忧教育咨询有限公司,合肥-滨湖新区,4.4-8.9千/月,11-26
8055,滨湖浦发银行：获客/分期/催收/1万+客服专员文员销售,安徽荣耀前程信息科技有限公司,合肥-滨湖新区,4.4-8.9千/月,11-26
8056,大平台 高薪稳定 电话催收,上海你我贷互联网金融信息服务有限...,上海-浦东新区,0.8-1.5万/月,11-26
8057,武昌逾期账户管理员,武汉众汇信资产管理有限公司,武汉,0.8-1万/月,11-26
8058,电话催收,上海你我贷互联网金融信息服务有限...,上海-浦东新区,0.8-1.5万/月,11-26
8059,支付宝回款专员,联信集团互联网金融中心,泰安,0.6-1.5万/月,11-26
8060,公司直招电话催收（内催）,上海你我贷互联网金融信息服务有限...,昆山,4-9千/月,11-26
8061,信用卡催收员,广东浩传管理服务有限公司海南分公...,海口,4-8千/月,11-26
8062,高底薪信用卡催收员,厦门煌隆管理咨询有限公司广州分公...,广州-白云区,1-2万/月,11-26
8063,资深催收员,厦门煌隆管理咨询有限公司广州分公...,广州,0.8-1.5万/月,11-26
8064,高级催收员（4800底薪,厦门煌隆管理咨询有限公司广州分公...,广州,0.8-1.5万/月,11-26
8065,催收主管,湖北中亿拓博企业管理咨询有限公司...,武汉-江夏区,1.2-2万/月,11-26
8066,招联催收朝九晚六周末双休,武汉后起之秀人力资源有限公司,武汉-洪山区,4.5-6千/月,11-26
8067,招联金融催收(入职五险一金）,武汉嘉学益科技有限公司,武汉-江夏区,4.5-6千/月,11-26
8068,电话催收，月入9K，内催M1，金融港,武汉市优杰创信息科技有限公司,武汉-东湖新技...,0.8-1万/月,11-26
8069,国企银行电话催收保底4200包住,深圳市润鑫晨客服中心有限公司,东莞-莞城区,0.6-1.2万/月,11-26
8070,固定双休邮储客服朝九晚六分期文员销售财务文员助理,合肥勇者企业管理咨询有限公司,成都-武侯区,6-8千/月,11-26
8071,支付宝花呗电话催收,深圳市融关资产管理有限公司武汉分...,武汉-江夏区,4-8千/月,11-26
8072,资产保全专员 银行催收,广州银行信用卡中心,广州-海珠区,6-8千/月,11-26
8073,"南七交行专员7k行政班朝九晚六(五险一金,双休)",合肥普惠特投资咨询有限公司,合肥-蜀山区,5-8千/月,11-26
8074,民生银行高薪急招催收岗,广东鸿联九五信息产业有限公司,成都-龙泉驿区,6-8千/月,11-26
8075,光谷无责底薪4230高薪催收员,武汉夏服企业管理有限公司,武汉-洪山区,1-1.5万/月,11-26
8076,光谷地铁口电话催收（交通方便）,武汉夏服企业管理有限公司,武汉-洪山区,0.8-1万/月,11-26
8077,高薪双休内催电话催收,武汉夏服企业管理有限公司,武汉-洪山区,0.8-1万/月,11-26
8078,S1-S3网贷催收客服（6K-8K）,四川晨盈企业管理有限公司,成都-武侯区,6-8千/月,11-26
