,title,company,place,salary,publish_time
788,，催收专员/电话销售/客服专员/月均6K,传众网络科技,武汉-洪山区,0.8-1万/月,11-26
789,关山大道/银行电话催收/五险一金/8K+,深圳市鸿泰企业管理有限公司,武汉-江夏区,6-8千/月,11-25
790,电话催收/客服/月薪9k双休/软件园金融港,深圳市鸿泰企业管理有限公司,武汉-江夏区,0.8-1万/月,11-25
791,软件园催收专员/电话客服/月薪9k/朝九晚六,深圳市鸿泰企业管理有限公司,武汉-江夏区,6-8千/月,11-25
792,电话催收专员 做五休二+月薪8-13K起,深圳市鸿泰企业管理有限公司,武汉-洪山区,4.5-6千/月,11-25
793,电话催收/首月底薪4000/月均8K/不加班,武汉市泰信捷资产管理有限公司,武汉-江夏区,0.8-1万/月,11-25
794,银行风险控制+催收专员+保底4700+双休,深圳市鸿泰企业管理有限公司,武汉-洪山区,0.8-1万/月,11-25
795,催收精英,广东浩传管理服务有限公司成都分公...,成都-锦江区,1-1.5万/月,11-25
796,催收精英,广东浩传管理服务有限公司成都分公...,成都-锦江区,1-1.5万/月,11-25
797,催收（急聘+高薪）,广东浩传管理服务有限公司成都分公...,成都-锦江区,0.8-1.2万/月,11-25
798,电话催收（软件园，六险一金，双休，月薪过万）,武汉市优信捷信息科技有限公司,武汉-洪山区,0.8-1万/月,11-25
799,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-25
800,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-25
801,电话催收专员 月均八千+五险一金+做五休二,武汉东海之光国际旅行社有限公司,武汉-洪山区,0.8-1万/月,11-25
802,l电话催收专员 月均八千+五险一金+做五休二,武汉东海之光国际旅行社有限公司,武汉-洪山区,0.8-1万/月,11-25
803,l催收专员/提成+双休+餐补/软件园+金融港,武汉东海之光国际旅行社有限公司,武汉-洪山区,0.8-1万/月,11-25
804,电话催收专员 月均八千+五险一金+做五休二,武汉东海之光国际旅行社有限公司,武汉-东湖新技...,0.8-1万/月,11-25
