,title,company,place,salary,publish_time
534,软件园电话催收/M1低账龄/保底4000+高提成/双休,武汉市优信捷信息科技有限公司,武汉-洪山区,0.8-1万/月,11-25
535,信用卡催收专员,上海一诺银华服务外包有限公司,武汉-武昌区,6-8千/月,11-25
536,朝九晚六催收专员,上海一诺银华服务外包有限公司,武汉-武昌区,6-8千/月,11-25
537,电话催收专员,上海一诺银华服务外包有限公司,武汉-武昌区,0.8-1万/月,11-25
538,信用卡催收专员无加班,上海一诺银华服务外包有限公司,武汉-武昌区,0.8-1万/月,11-25
539,催收专员双休无加班,上海一诺银华服务外包有限公司,武汉-武昌区,0.8-1万/月,11-25
540,美资外企金融业务员,CBC(北京)信用管理有限公司江苏分...,南京,6-8千/月,11-25
541,银行内勤客服,CBC(北京)信用管理有限公司江苏分...,南京,6-8千/月,11-25
542,银行客服,CBC(北京)信用管理有限公司江苏分...,南京,0.8-1万/月,11-25
543,外企金融业务员,CBC(北京)信用管理有限公司江苏分...,南京,6-8千/月,11-25
544,7000招售后客服,CBC(北京)信用管理有限公司江苏分...,南京,0.8-1万/月,11-25
545,6-8K客服专员+五险一金,CBC(北京)信用管理有限公司江苏分...,南京,6-8千/月,11-25
546,无责底薪3k售后客服（均薪6k+ 五险 提供住宿）,武汉云兮智慧科技有限公司,武汉-江夏区,6-8千/月,11-25
547,光谷急聘无责底薪3k客服专员（高薪 五险 提供住宿）,武汉云兮智慧科技有限公司,武汉-江夏区,6-8千/月,11-25
548,中信银行催收客服专员/提供住宿/五险一金/月薪5K以上,深圳市喜瑞凯投资管理有限公司,深圳-福田区,0.8-1万/月,11-25
549,底薪3800金融风控S1M1催收专员五险,安徽千弘信息技术有限公司,合肥-蜀山区,0.8-1万/月,11-25
550,美资+透明晋升+电话催收,华睿信（北京）金融服务外包有限公...,成都-金牛区,6-8千/月,11-25
551,兴业银行催收客服月入八千（直招）,合肥雅诚电子科技有限公司,合肥-滨湖新区,6-8千/月,11-25
552,金融港电话催收/信贷催收/小额贷款销售/均薪8K-1W,武汉市优信捷信息科技有限公司,武汉-洪山区,0.8-1万/月,11-25
553,逾期提醒（电话催收专员）/小额信贷催收/月入8K金融港,武汉市优信捷信息科技有限公司,武汉-江夏区,6-8千/月,11-25
554,诚聘催收专员高提成+五险,武汉汇十资产管理有限公司,武汉-洪山区,0.8-1万/月,11-25
555,催收客服（五险）+正常休假,武汉汇十资产管理有限公司,武汉-洪山区,0.8-1万/月,11-25
