,title,company,place,salary,publish_time
55,高级数据挖掘工程师,深圳筑龙信息技术有限责任公司,深圳-福田区,2-3万/月,03-31
56,风险建模师/数据挖掘,成都小启科技有限责任公司,成都-高新区,0.8-1.5万/月,03-31
57,数据挖掘工程师,成都大汇智安科技有限公司,成都-武侯区,1.5-2.7万/月,03-31
58,美团地图-资深数据挖掘工程师,美团点评,北京-朝阳区,2.5-3万/月,03-31
59,算法工程师/用户数据挖掘工程师,广州华购计算机科技有限公司,广州-番禺区,1.5-3万/月,03-31
60,数据挖掘工程师（文本方向）,广州比地数据科技有限公司,广州-天河区,1-2万/月,03-31
61,数据挖掘实习生 (MJ000020),武汉斗鱼网络科技有限公司,武汉-洪山区,3.5-8千/月,03-31
62,数据挖掘工程师,百富计算机技术（深圳）有限公司,深圳-南山区,0.8-1.5万/月,03-31
63,数据挖掘工程师,浙江华坤道威数据科技有限公司,杭州-余杭区,1-2万/月,03-31
64,数据挖掘工程师,快乐购有限责任公司,长沙-开福区,0.8-1万/月,03-31
65,数据分析师--数据挖掘方向（医药背景）,医药魔方,上海-浦东新区,0.7-1.6万/月,03-31
66,数据挖掘工程师,上海六和勤强食品有限公司,上海-宝山区,2-2.5万/月,03-31
67,数据挖掘工程师,武汉安天信息技术有限责任公司,武汉,1-1.5万/月,03-31
68,数据挖掘工程师,上海雪萌网络科技有限公司,上海-徐汇区,1-2万/月,03-31
69,数据挖掘,广东亿迅科技有限公司,南京-鼓楼区,0.8-1.2万/月,03-31
70,IT管培生（数据挖掘和开发方向）,浙江芭欧时装有限公司,海宁,4.5-6千/月,03-31
71,0324MF-数据挖掘岗,中国平安财产保险股份有限公司温州...,温州,0.8-1万/月,03-31
72,数据挖掘工程师,广州寄锦教育科技有限公司,广州-天河区,1.5-3万/月,03-31
73,大数据开发工程师（数据挖掘）-Hago (MJ002699),欢聚集团,广州-番禺区,1.5-3万/月,03-31
74,数据挖掘工程师,浙江连信科技有限公司,杭州-滨江区,1.2-2.4万/月,03-31
75,数据挖掘工程师,南京迈特望科技股份有限公司,郑州-郑东新区,0.8-1万/月,03-31
76,数据挖掘工程师,深圳樱吉尔企业咨询管理有限公司,深圳-福田区,1.6-2.9万/月,03-31
77,数据挖掘工程师,湖南草花互动网络科技有限公司,长沙,0.8-1.2万/月,03-31
78,数据挖掘工程师,广州点云科技有限公司,广州-天河区,1-1.5万/月,03-31
79,数据挖掘工程师,马鞍山百助网络科技有限公司,马鞍山,21-42万/年,03-31
80,数据挖掘工程师,中国电信10000号,成都,0.6-1万/月,03-31
81,数据挖掘工程师(006508),vivo,杭州-余杭区,3-6万/月,03-31
82,大数据挖掘工程师,厦门卫星定位应用股份有限公司,厦门,1-1.5万/月,03-31
83,数据挖掘工程师,上海柏维信息技术有限公司,上海-长宁区,1.5-2.5万/月,03-31
84,数据挖掘算法工程师,绿漫科技有限公司,杭州-西湖区,1.5-2万/月,03-31
85,数据挖掘工程师,杭州致成能源科技有限公司,杭州,1.2-2万/月,03-31
86,资深数据挖掘（AI）,上海巨人网络科技有限公司,上海-松江区,2-4万/月,03-31
87,数据挖掘工程师,苏迪科技,南京-雨花台区,0.8-1.2万/月,03-31
88,数据挖掘分析师,广州龙骐贸易有限公司,广州-白云区,1-1.5万/月,03-31
89,数据挖掘工程师,广州思迈特软件有限公司,广州,1.8-3万/月,03-31
90,高级算法/数据挖掘/机器学习专家,广州市钱大妈农产品有限公司,广州-海珠区,30-40万/年,03-31
91,数据挖掘工程师,常相伴（武汉）科技有限公司,武汉-洪山区,2-3万/月,03-31
92,Java数据挖掘分析应用研发工程师,电信科学技术第五研究所有限公司,成都,0.8-1.2万/月,03-31
93,数据挖掘 数据分析工程师（大数据）,广州博纳信息技术有限公司,广州,1.5-2.8万/月,03-31
94,数据挖掘顾问（Customer Service）,上海机颖智能科技有限公司,上海-杨浦区,1.2-1.6万/月,03-31
95,数据挖掘实习生,深圳合众财富金融投资管理有限公司...,广州,0.8-1万/月,03-31
96,数据挖掘工程师,上海致昕信息科技有限公司,上海-宝山区,1-1.8万/月,03-31
97,数据挖掘分析工程师,上海新炬网络信息技术股份有限公司...,上海-浦东新区,1-1.5万/月,03-31
98,数据挖掘工程师,福韵数据服务有限公司,武汉-洪山区,10-15万/年,03-31
99,数据挖掘工程师,广东各有所爱信息科技有限公司,广州-番禺区,1.2-1.8万/月,03-31
100,医药数据挖掘与分析师,成都健数科技有限公司,成都-高新区,0.8-1.2万/月,03-31
101,大数据开发工程师/数据挖掘工程师,UT斯达康（中国）股份有限公司,深圳-宝安区,1-2.5万/月,03-31
102,数据挖掘工程师（识货）,虎扑,上海,1-2万/月,03-31
103,bi分析师/数据挖掘专家,伽蓝（集团）股份有限公司,上海,0.8-1.3万/月,03-31
104,技服-新媒体运营专员（数据挖掘及分析方向）,杭州海康威视数字技术股份有限公司...,杭州-滨江区,6-8千/月,03-31
105,数据挖掘工程师,南威软件集团,福州-鼓楼区,0.8-1.6万/月,03-31
106,数据挖掘工程师（电商数据）,上海康之诚电子商务有限公司,上海-浦东新区,1-1.5万/月,03-31
107,数据挖掘工程师,广东锐博天成信息科技有限公司,广州-天河区,4.5-8.5千/月,03-31
108,大数据/数据挖掘工程师,大连东软思维科技发展有限公司,沈阳-和平区,0.7-1.2万/月,03-31
109,数据挖掘工程师,西安舟济网络科技有限公司,成都-高新区,0.8-1万/月,03-31
110,大数据挖掘工程师,湖南金烽信息科技有限公司,北京,1.5-3万/月,03-31
111,数据挖掘实习生,深圳市诺维尔科技互联网有限公司,深圳-福田区,0.8-1万/月,03-31
112,高级数据分析师（数据挖掘）,深圳百果园实业发展有限公司,深圳-南山区,1.5-2.5万/月,03-31
113,数据挖掘与分析工程师,顺丰速运有限公司,深圳-南山区,1.5-2万/月,03-31
114,数据挖掘工程师,浙江浙大网新图灵信息科技有限公司...,上海-黄浦区,1-2.5万/月,03-31
115,大数据挖掘/人工智能首席架构师,上海宝藤生物医药科技股份有限公司...,上海,1.5-3万/月,03-31
116,数据挖掘工程师（运营）,上海数鸣人工智能科技有限公司,上海-宝山区,1.5-3万/月,03-31
117,数据分析师/数据挖掘师,福州咸鱼科技有限公司,福州,0.8-1.5万/月,03-31
118,数据挖掘工程师（运营）,苏州瑞翼信息技术有限公司,苏州-工业园区,1.5-3万/月,03-31
119,数据挖掘工程师,中策大数据咨询（深圳）有限公司,深圳-南山区,1-1.5万/月,03-31
120,数据挖掘工程师,深圳市中农网有限公司,深圳-福田区,1-2万/月,03-31
121,数据挖掘工程师,广州旭升源科技有限公司,济南,0.8-1.2万/月,03-31
122,SAS数据挖掘顾问,广州赛意信息科技股份有限公司,广州,1-1.5万/月,03-31
123,BI数据挖掘工程师,上海奇云通讯科技有限公司,上海-徐汇区,1-1.5万/月,03-31
124,数据挖掘算法工程师,浙江和达科技股份有限公司,嘉兴,1.5-3万/月,03-31
125,数据挖掘工程师,南京泽谷软件有限公司,南京-江宁区,1.5-2.5万/月,03-31
126,数据挖掘（开发工程师）,易居企业（中国）集团有限公司,上海-静安区,1-1.5万/月,03-31
127,广告数据挖掘工程师,南京雪糕网络科技有限公司,南京-浦口区,0.8-1.5万/月,03-31
128,大数据工程师（数据挖掘）,北京万泰中联科技股份有限公司,北京-丰台区,0.8-2万/月,03-31
129,数据挖掘工程师,江西高创保安服务技术有限公司杭州...,杭州-江干区,1-2万/月,03-31
130,数据挖掘经理,深圳全棉时代科技有限公司,深圳,1.5-2.5万/月,03-31
131,数据挖掘工程师,沈阳韩邦软件开发有限公司,沈阳,0.8-1.2万/月,03-31
132,数据挖掘工程师（兰州）,浙江正元智慧科技股份有限公司,异地招聘,2-4万/月,03-31
133,数据挖掘工程师,江苏智臻能源科技有限公司,南京-江宁区,1.2-1.8万/月,03-31
134,数据挖掘工程师,广州帷策智能科技有限公司,广州-天河区,1-1.5万/月,03-31
135,数据挖掘工程师,四川杰通交通科技有限公司,成都-高新区,1.5-2万/月,03-31
136,数据挖掘工程师,万帮新能源投资集团有限公司,深圳-南山区,0.8-2.2万/月,03-31
137,数据挖掘工程师,米思米（中国）精密机械贸易有限公...,上海-静安区,1-2.2万/月,03-31
138,数据挖掘专家,北京深演智能科技股份有限公司,北京,3-4万/月,03-31
139,数据挖掘工程师 （智能客服）,网易集团,广州-天河区,1.2-2.5万/月,03-31
140,11312R-数据挖掘工程师（医疗方向）,平安科技（深圳）有限公司,北京-朝阳区,2-2.5万/月,03-31
141,创新事业群书旗事业部-数据挖掘专家-北京,阿里巴巴集团,北京,,03-31
142,数据挖掘岗 (006464),中信银行信用卡中心,深圳-福田区,1.5-2万/月,03-31
143,数据挖掘工程师助理,广州辉炬警用装备有限公司,深圳-宝安区,6-8千/月,03-31
144,数据挖掘与统计分析工程师,云南乾盛司法鉴定中心,昆明-官渡区,0.7-1万/月,03-31
